position,title,slug,price,offer,product_link
1,Redmi A1 Plus 3GB/32GB,xiaomi,"11,999",-0%,https://www.pickaboo.com/product-detail/redmi-a1-plus-3gb-32gb/
2,Redmi Note 11 8GB/128GB,xiaomi,"24,499",-0%,https://www.pickaboo.com/product-detail/redmi-note-11-8gb-128gb/
3,Redmi 10A 4GB/64GB,xiaomi,"12,999",-10%,https://www.pickaboo.com/product-detail/redmi-10a-4gb-64gb/
4,Redmi 10A 2GB/32GB,xiaomi,"10,499",-17%,https://www.pickaboo.com/product-detail/redmi-10a-2gb-32gb/
5,Redmi 10C 4GB/64GB,xiaomi,"14,999",-0%,https://www.pickaboo.com/product-detail/redmi-10c-4gb-64gb/
6,Redmi Note 11 4GB/64GB,xiaomi,,-0%,https://www.pickaboo.com/product-detail/redmi-note-11-4gb-64gb/
7,Redmi 10 2022 6GB/128GB,xiaomi,"18,999",-10%,https://www.pickaboo.com/product-detail/redmi-10-6gb-128gb/
8,Redmi 10 2022 4GB/64GB,xiaomi,"16,999",-7%,https://www.pickaboo.com/product-detail/redmi-10-4gb-64gb/
9,Redmi 10C 4GB/128GB,xiaomi,,-0%,https://www.pickaboo.com/product-detail/redmi-10c-4gb-128gb/
10,Redmi Note 10 Pro 108MP Edition 6GB/128GB,xiaomi,"29,999",-0%,https://www.pickaboo.com/product-detail/redmi-note-10-pro-6gb-128gb/
11,Redmi Note 11S 6GB/128GB,xiaomi,"27,999",-0%,https://www.pickaboo.com/product-detail/redmi-note-11s-6gb-128gb/
12,Redmi Note 11 6GB/128GB,xiaomi,"22,499",-5%,https://www.pickaboo.com/product-detail/redmi-note-11-6gb-128gb/
13,Redmi Note 11 4GB/128GB,xiaomi,"21,499",-0%,https://www.pickaboo.com/product-detail/redmi-note-11-4gb-128gb/
