position,title,slug,price,offer,product_link
1,Carolina Herrera Good Girl EDP 7Ml for Women,womens-fragrance,"1,849",-18%,https://www.pickaboo.com/product-detail/carolina-herrera-good-girl-edt-7ml-for-women/
2,Coach EDP 4.5ML For Women,womens-fragrance,"1,049",-33%,https://www.pickaboo.com/product-detail/coach-edp-4-5ml-for-women/
3,YSL Libre EDT 90ML for Women,womens-fragrance,"11,499",-9%,https://www.pickaboo.com/product-detail/ysl-libre-edt-90ml-for-women/
4,Ysl Libre EDP 90ML for Women,womens-fragrance,"14,249",-14%,https://www.pickaboo.com/product-detail/ysl-libre-edp-90ml-for-women/
5,Shakira Dream Shakira EDT 80ML For Women,womens-fragrance,"2,099",-17%,https://www.pickaboo.com/product-detail/shakira-dream-shakira-edt-80ml-for-women/
6,Shakira Dance Shakira EDT 80ML For Women,womens-fragrance,"2,099",-17%,https://www.pickaboo.com/product-detail/shakira-dance-shakira-edt-80ml-for-women/
7,Shakira Rock By Shakira Animal EDT 80 ML For Women,womens-fragrance,"2,099",-17%,https://www.pickaboo.com/product-detail/shakira-rock-by-shakira-animal-edt-80-ml-for-women/
8,Nina Ricci Nina Repack EDT 80ML for Women,womens-fragrance,"5,299",-16%,https://www.pickaboo.com/product-detail/nina-ricci-nina-repack-edt-80ml-for-women/
9,Nina Ricci L'air Du Temps EDT 100ML for Women,womens-fragrance,"5,499",-16%,https://www.pickaboo.com/product-detail/nina-ricci-l-air-du-temps-edt-100ml-for-women/
10,Kenzo World Intense EDP 75ML for Women,womens-fragrance,"5,499",-18%,https://www.pickaboo.com/product-detail/kenzo-world-intense-edp-75ml-for-women/
11,Kenzo World EDP 75ML for Women,womens-fragrance,"5,299",-19%,https://www.pickaboo.com/product-detail/kenzo-world-edp-75ml-for-women/
12,Kenzo Flower By Kenzo EDT 100ML for Women,womens-fragrance,"5,699",-15%,https://www.pickaboo.com/product-detail/kenzo-flower-by-kenzo-edt-100ml-for-women/
13,One Direction by Our Moment EDP 50ML For Women,womens-fragrance,"2,149",-15%,https://www.pickaboo.com/product-detail/one-direction-by-our-moment-edp-50ml-for-women/
14,Shalis by Remy Marquis EDP 100ML for Women,womens-fragrance,"1,549",-17%,https://www.pickaboo.com/product-detail/shalis-by-remy-marquis-edp-100ml-for-women/
15,One Direction by That Moment EDP 50ML For Women,womens-fragrance,"2,149",-15%,https://www.pickaboo.com/product-detail/that-moment-by-one-direction-edp-50ml-for-women/
16,Montblanc Emblem Lady EDP 75ML For Women,womens-fragrance,"4,899",-21%,https://www.pickaboo.com/product-detail/montblanc-emblem-lady-edp-75ml-for-women/
17,Montblanc Femme Individuelle EDT 75ML for Women,womens-fragrance,"3,249",-21%,https://www.pickaboo.com/product-detail/montblanc-femme-individuelle-edt-75ml-for-women/
18,Rasasi Chastity EDP 100ML for Women,womens-fragrance,"1,899",-25%,https://www.pickaboo.com/product-detail/rasasi-chastity-edp-100ml-for-women/
19,Mancera Black to Black EDP 120ML for Unisex,womens-fragrance,"11,699",-8%,https://www.pickaboo.com/product-detail/mancera-black-to-black-edp-120ml-for-unisex/
20,Lattafa Velvet Oud EDP 100ML for Unisex,womens-fragrance,"2,199",-13%,https://www.pickaboo.com/product-detail/lattafa-velvet-oud-edp-100ml-for-unisex/
21,Givenchy L'interdit Intense EDP 80ML for Women,womens-fragrance,"8,299",-13%,https://www.pickaboo.com/product-detail/givenchy-l-interdit-intense-edp-80ml-for-women/
22,Givenchy L'interdit EDT 80ML for Women,womens-fragrance,"6,999",-18%,https://www.pickaboo.com/product-detail/givenchy-l-interdit-edt-80ml-for-women/
23,Givenchy L'interdit EDP 80ML for Women,womens-fragrance,"8,099",-15%,https://www.pickaboo.com/product-detail/givenchy-l-interdit-edp-80ml-for-women/
24,Coach Floral EDP 90ML for Women,womens-fragrance,"6,499",-14%,https://www.pickaboo.com/product-detail/coach-floral-edp-90ml-for-women/
25,Coach New York Floral Blush EDP 90ML for Women,womens-fragrance,"6,499",-14%,https://www.pickaboo.com/product-detail/coach-new-york-floral-blush-edp-90ml-for-women/
26,RAWAAN BY ZIMAYA EDP 100 ML FOR UNISEX,womens-fragrance,"2,599",-14%,https://www.pickaboo.com/product-detail/rawaan-by-zimaya-edp-100-ml-for-unisex/
27,Nabeel Bakhoor Home Fragrance 60 GM,womens-fragrance,"1,899",-12%,https://www.pickaboo.com/product-detail/nabeel-bakhoor-home-fragrance-60-gm/
28,BLOSSOM BY BRANDY EDP 85 ML FOR WOMEN,womens-fragrance,"2,349",-12%,https://www.pickaboo.com/product-detail/blossom-by-brandy-edp-85-ml-for-women/
29,Armaf Club Intense EDP 105ml For Women,womens-fragrance,"3,599",-1%,https://www.pickaboo.com/product-detail/armaf-club-intense-woman-105ml-for-women/
30,Versace Crystal Nior EDP 100ML for Woman,womens-fragrance,"8,799",-11%,https://www.pickaboo.com/product-detail/versace-crystal-nior-edp-100ml-for-woman/
31,Hugo Boss XX EDT 100ml for Women,womens-fragrance,"5,499",-16%,https://www.pickaboo.com/product-detail/hugo-boss-xx-edt-100ml-for-women/
32,Lacoste Touch of Pink EDT 100ml for Women,womens-fragrance,"5,199",-17%,https://www.pickaboo.com/product-detail/lacoste-touch-of-pink-edt-100ml-for-women/
33,Elizabeth Arden White Tea EDT 100ml for Women,womens-fragrance,"3,700",-6%,https://www.pickaboo.com/product-detail/elizabeth-arden-white-tea-edt-100ml-for-women/
34,Elizabeth Arden Beauty EDP 100ml for Women,womens-fragrance,"2,799",-13%,https://www.pickaboo.com/product-detail/elizabeth-arden-beauty-edp-100ml-for-women/
35,Elizabeth Arden Green Tea EDT 100ml for Women,womens-fragrance,"1,999",-20%,https://www.pickaboo.com/product-detail/elizabeth-arden-green-tea-edt-100ml-for-women/
36,Davidoff Cool Water Sea Rose EDT 100ml for Women,womens-fragrance,"3,799",-16%,https://www.pickaboo.com/product-detail/davidoff-cool-water-sea-rose-edt-100ml-for-women/
37,Tommy Hilfiger Tommy Girl EDT 100ml for Women,womens-fragrance,"4,499",-14%,https://www.pickaboo.com/product-detail/tommy-hilfiger-tommy-girl-edt-100ml-for-women/
38,Victoria's Secret Love Spell Body Mist for Women (250ml),womens-fragrance,"1,449",-22%,https://www.pickaboo.com/product-detail/victoria-s-secret-love-spell-body-mist-for-women-250ml/
39,Rasasi Blue Lady EDT 40ml for Women,womens-fragrance,"1,349",-26%,https://www.pickaboo.com/product-detail/rasasi-blue-lady-edt-40ml-for-women/
40,Calvin Klein One EDT 100ml for Unisex,womens-fragrance,"3,049",-22%,https://www.pickaboo.com/product-detail/ck-one-edt-100ml-for-unisex/
41,Rasasi Hawas EDP 100ml for Women,womens-fragrance,"5,499",-7%,https://www.pickaboo.com/product-detail/rasasi-hawas-edp-100ml-for-women/
42,Riiffs Incense Gold EDP 100 Ml for Unisex,womens-fragrance,"2,199",-11%,https://www.pickaboo.com/product-detail/riiffs-incense-gold-edp-100-ml-for-unisex/
43,Afnan Tribute Blue EDP 100ml for Unisex,womens-fragrance,"6,249",-17%,https://www.pickaboo.com/product-detail/afnan-tribute-blue-edp-100ml-for-unisex/
44,Brome Praire Verte Noir EDP 100 Ml For Unisex,womens-fragrance,"2,499",-11%,https://www.pickaboo.com/product-detail/brome-praire-verte-noir-edp-100-ml-for-unisex/
45,Armaf Edition One EDP 100ML for Women,womens-fragrance,"2,899",-18%,https://www.pickaboo.com/product-detail/armaf-edition-one-edp-100ml-for-women/
46,Afnan Dahaab Saafi EDP 100ML for Unisex,womens-fragrance,"2,529",-12%,https://www.pickaboo.com/product-detail/afnan-dahaab-saafi-edp-100ml-for-unisex/
47,NXN One Night In Kashmir Parfum 50ML For Unisex,womens-fragrance,"3,799",-10%,https://www.pickaboo.com/product-detail/nxn-one-night-in-kashmir-parfum-50ml-for-unisex/
48,NXN Vanilla Volcano Parfum 50ML For Unisex,womens-fragrance,"3,799",-10%,https://www.pickaboo.com/product-detail/nxn-vanilla-volcano-parfum-50ml-for-unisex/
49,NXN Green Mango EDP 50ML For Unisex,womens-fragrance,"3,799",-10%,https://www.pickaboo.com/product-detail/nxn-green-mango-edp-50ml-for-unisex/
50,Jovan Musk Cologne 96ml for Women,womens-fragrance,969,-24%,https://www.pickaboo.com/product-detail/jovan-musk-cologne-96ml-for-women/
51,Aquolina Pink Sugar Perfume EDT 100ML for Women,womens-fragrance,"2,849",-14%,https://www.pickaboo.com/product-detail/aquolina-pink-sugar-perfume-edt-100ml-for-women/
52,Benetton United Dreams Live Free EDT 80ML Spray For Women,womens-fragrance,"2,249",-20%,https://www.pickaboo.com/product-detail/benetton-united-dreams-live-free-edt-80ml-spray-for-women/
53,Benetton United Dreams Love Yourself EDT 80ml for Women,womens-fragrance,"2,249",-20%,https://www.pickaboo.com/product-detail/benetton-united-dreams-love-yourself-edt-80ml-for-women/
54,Paco Rabanne Pure XS EDP 80ML for Women,womens-fragrance,"5,799",-11%,https://www.pickaboo.com/product-detail/paco-rabanne-pure-xs-edp-80ml-for-women/
