position,title,slug,price,offer,product_link
1,Philips GC181/80 Super Heavy Duty Dry Iron,iron,"2,499",-35%,https://www.pickaboo.com/product-detail/philips-gc181-80-super-heavy-duty-dry-iron/
2,Pigeon Nexa 1000W Dry Iron (14605),iron,"1,340",-11%,https://www.pickaboo.com/product-detail/pigeon-nexa-1000w-dry-iron-14605/
3,Havells Insta 600W Dry Iron,iron,"1,429",-16%,https://www.pickaboo.com/product-detail/havells-insta-600w-dry-iron/
4,Havells Trendy 750W Dry Iron,iron,"1,479",-16%,https://www.pickaboo.com/product-detail/havells-trendy-750w-dry-iron/
5,Havells Glace Ruby 750W Dry Iron,iron,"1,589",-16%,https://www.pickaboo.com/product-detail/havells-glace-ruby-750w-dry-iron/
6,Conion YPF-650 Iron,iron,"1,090",-0%,https://www.pickaboo.com/product-detail/conion-ypf-650-iron/
7,Conion YPF-635 Iron,iron,"1,090",-0%,https://www.pickaboo.com/product-detail/conion-ypf-635-iron/
8,Conion BEL-1963E Iron (Apollo),iron,950,-0%,https://www.pickaboo.com/product-detail/conion-bel-1963e-iron-apollo/
9,Sahara Ocean Iron Dry- ODI219PR,iron,"1,430",-0%,https://www.pickaboo.com/product-detail/sahara-ocean-iron-dry-odi219pr/
10,Havells Czar Dry Iron 1000 Watt,iron,"1,950",-0%,https://www.pickaboo.com/product-detail/havells-czar-dry-iron-1000-watt/
11,Saachi NLIR3106 Iron,iron,"3,399",-0%,https://www.pickaboo.com/product-detail/saachi-nl-ir-3106-iron/
12,Philips GC2145 Steam Irons,iron,"6,449",-17%,https://www.pickaboo.com/product-detail/philips-gc2145-steam-irons/
13,Pigeon Glide 289 Dry Iron,iron,"1,230",-13%,https://www.pickaboo.com/product-detail/pigeon-glide-289-dry-iron/
14,Havells Era Dry Iron 1000 Watt,iron,"1,339",-16%,https://www.pickaboo.com/product-detail/havells-era-dry-iron-1000-watt/
15,Havells Brina Pro 1200 W Steam Iron,iron,"3,279",-16%,https://www.pickaboo.com/product-detail/havells-brina-pro-1200-w-steam-iron/
16,Havells Insta Plus 1000 W Dry Iron,iron,"1,599",-16%,https://www.pickaboo.com/product-detail/havells-insta-plus-dry-iron/
17,Jadroo JRSI-C Iron,iron,"1,800",-0%,https://www.pickaboo.com/product-detail/jadroo-jrsi-c-iron/
18,IHW IDI225 Dry Iron,iron,"1,480",-0%,https://www.pickaboo.com/product-detail/ihwidi225pr-dry-iron/
19,Ocean OSE1288PR Steam Iron,iron,"1,900",-0%,https://www.pickaboo.com/product-detail/ocean-ose1288pr-steam-iron/
20,Ocean ODI219P Dry Light Iron,iron,"1,430",-0%,https://www.pickaboo.com/product-detail/ocean-odi219p-dry-light-iron/
21,Ocean AB30 Dry Heavy Iron,iron,"2,100",-0%,https://www.pickaboo.com/product-detail/ocean-ab30-dry-heavy-iron/
22,Ocean OSE1288P Steam Iron,iron,"1,900",-0%,https://www.pickaboo.com/product-detail/ocean-ose1288p-steam-iron/
23,Ocean OSE1288O Steam Iron,iron,"1,900",-0%,https://www.pickaboo.com/product-detail/ocean-ose1288o-steam-iron/
24,Philips GC488 Stand Steamer,iron,"14,790",-0%,https://www.pickaboo.com/product-detail/philips-gc488-stand-steamer/
25,Philips GC486 Stand Steamer,iron,"13,690",-0%,https://www.pickaboo.com/product-detail/philips-gc486-stand-steamer/
