position,title,slug,price,offer,product_link
1,Gazi 45X3 45L Geyser,geyser,"14,999",-8%,https://www.pickaboo.com/product-detail/gazi-45x3-45l-geyser/
2,Gazi 45Y2B 45L Geyser,geyser,"12,749",-8%,https://www.pickaboo.com/product-detail/gazi-45y2b-45l-geyser/
3,Gazi 35Y2B 35L Geyser,geyser,"11,649",-8%,https://www.pickaboo.com/product-detail/gazi-35y2b-35l-geyser/
4,Gazi 30CB 30L Geyser,geyser,"12,749",-8%,https://www.pickaboo.com/product-detail/gazi-30cb-30l-geyser/
5,Gazi 30KC 30L Geyser,geyser,"12,749",-8%,https://www.pickaboo.com/product-detail/gazi-30kc-30l-geyser/
6,Gazi 30CU 30L Geyser,geyser,"12,749",-4%,https://www.pickaboo.com/product-detail/gazi-30cu-30l-geyser/
7,Gazi 25FA 25L Geyser,geyser,"12,749",-8%,https://www.pickaboo.com/product-detail/gazi-25fa-25l-geyser/
8,Gazi 20FE 20L Geyser,geyser,"12,749",-8%,https://www.pickaboo.com/product-detail/gazi-20fe-20l-geyser/
9,Gazi 20CG 20L Geyser,geyser,"9,549",-8%,https://www.pickaboo.com/product-detail/gazi-20cg-20l-geyser/
10,Gazi 20CF 20L Geyser,geyser,"9,549",-8%,https://www.pickaboo.com/product-detail/gazi-20cf-20l-geyser/
11,Hot Point Special 67L (15 Gallon) Floor Type Automatic Electric Geyser,geyser,"10,099",-20%,https://www.pickaboo.com/product-detail/hot-point-special-67l-15-gallon-floor-type-automatic-electric-geyser/
12,Hot Point Special 45L (10 Gallon) Floor Type Automatic Electric Geyser,geyser,"9,299",-20%,https://www.pickaboo.com/product-detail/hot-point-special-45l-10-gallon-floor-type-automatic-electric-geyser/
13,Hot Point Special 30L (07 Gallon) Floor Type Automatic Electric Geyser,geyser,"8,499",-20%,https://www.pickaboo.com/product-detail/hot-point-special-30l-07-gallon-floor-type-automatic-electric-geyser/
14,Hot Point Standard 67L (15 Gallon) Floor Type Automatic Electric Geyser,geyser,"8,499",-20%,https://www.pickaboo.com/product-detail/hot-point-standard-67l-15-gallon-floor-type-automatic-electric-geyser/
15,Hot Point Standard 45L (10 Gallon) Floor Type Automatic Electric Geyser,geyser,"7,699",-19%,https://www.pickaboo.com/product-detail/hot-point-standard-45l-10-gallon-floor-type-automatic-electric-geyser/
16,Hot Point Standard 30L (7 Gallon) Floor Type Automatic Electric Geyser,geyser,"6,469",-24%,https://www.pickaboo.com/product-detail/hot-point-standard-30l-7-gallon-floor-type-automatic-electric-geyser/
17,Best One Special 67L (10 Gallon) Floor Type Automatic Electric Geyser,geyser,"12,949",-20%,https://www.pickaboo.com/product-detail/best-one-special-67l-10-gallon-floor-type-automatic-electric-geyser/
18,Best One Special 45L (10 Gallon) Floor Type Automatic Electric Geyser,geyser,"10,899",-19%,https://www.pickaboo.com/product-detail/best-one-special-45l-10-gallon-floor-type-automatic-electric-geyser/
